epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9126,1.10362,2.04798,1.13036,0.00885,0.98571,0.71051,0.27664,1.62024,2.9499,1.37717,0.09208,8e-05,8e-05
2,90.0795,0.9275,0.99973,1.0054,0.00885,0.98571,0.45148,0.14776,1.96988,3.15828,1.57941,0.08317,0.000169958,0.000169958
3,134.582,0.98973,0.89166,1.0753,0.02748,0.95714,0.43119,0.17955,2.12137,3.26291,1.77275,0.0742597,0.000259746,0.000259746
4,179.792,0.92899,0.79739,1.07309,0.03298,0.97143,0.51067,0.22639,1.99814,3.08235,1.76224,0.0653492,0.000349231,0.000349231
5,223.542,0.83354,0.74838,1.05075,0.14583,1,0.9449,0.44342,1.9077,2.99771,1.70894,0.0564383,0.000438283,0.000438283
6,268.686,0.91692,0.72663,1.06126,1,0.23509,0.96208,0.56726,1.58649,2.26927,1.46739,0.0475268,0.00052677,0.00052677
7,313.844,0.82628,0.68452,1.02273,0.96992,0.46072,0.95118,0.66944,1.07607,1.80791,1.14479,0.0386146,0.000614564,0.000614564
8,359.031,0.83549,0.71217,1.04738,0.82237,0.5291,0.89821,0.68861,0.83979,1.46346,1.04018,0.0297015,0.000701536,0.000701536
9,403.586,0.79119,0.66474,1.02383,0.90466,0.91429,0.95598,0.7775,0.75543,1.06094,0.97944,0.0207876,0.000787559,0.000787559
10,448.557,0.85482,0.69719,1.05415,0.98536,0.96139,0.99041,0.63902,1.27245,0.85674,1.22127,0.0118725,0.000872507,0.000872507
11,493.342,0.83562,0.67633,1.03426,0.99914,0.98571,0.99421,0.68209,1.12966,0.74064,1.14879,0.00295626,0.000956258,0.000956258
12,537.64,0.7982,0.65101,1.01066,0.9028,0.92877,0.96751,0.61722,1.26078,0.91782,1.24443,0.000970736,0.000970736,0.000970736
13,581.782,0.86074,0.67077,1.02375,0.99561,0.95714,0.99336,0.58256,1.45956,0.78265,1.3466,0.000965239,0.000965239,0.000965239
14,627.897,0.84665,0.63974,1.01273,1,0.96891,0.99444,0.75557,0.85224,0.53894,1.02133,0.000959289,0.000959289,0.000959289
15,673.03,0.84784,0.6092,1.03702,0.98589,0.99811,0.99472,0.77828,0.85773,0.51378,1.01985,0.000952889,0.000952889,0.000952889
